Year,Month,Day,Locationorig,Location,Sex,FinalML,WL,EL,LRL beak,Capture
1639,Autumn,,Iceland Nordresyssel Thingoresand,North Atlantic,NK,NA,NA,NA,,Stranded
1661 or 1662 (Packard 1873),,,Netherlands,North Atlantic,NK,NA,NA,NA,,Stranded
1673,October,15,Dingle-I-Cosh. Ireland,North Atlantic,NK,NA,NA,NA,,Stranded
1680,,,Alstadhoug,North Atlantic,NK,NA,NA,NA,,NK
1700s,,,Canada. Newfoundland. Grandbanks,North Atlantic,NK,NA,NA,NA,,NK
1770,,,Denmark. Jutland,North Atlantic,NK,NA,NA,NA,,NK
1785,May,27,Canada. Newfoundland Grandbanks,North Atlantic,NK,2.1336,NA,NA,,Floating
1790,Nov or Dec,,Arnarnaesvik. Modruvalle. Iceland,North Atlantic,NK,NA,NA,11.8872,,Stranded
Before 1795,,,Canada. Newfoundland. Nr St Johns harbour,North Atlantic,NK,NA,NA,NA,,NK
1798,,,Denmark,North Atlantic,NK,NA,NA,NA,,NK
1802,,,Off Tasmania,NK,NK,NA,NA,NA,,NK
1817,,,Atlantic Ocean,South Atlantic,NK,NA,NA,NA,,Floating
1853,December,,Skaggerak. MN. Jutland,North Atlantic,NK,NA,NA,NA,,Stranded
1855,November,5,Bahamas 31N 76 W,North Atlantic,Male,NA,3.77,,,NK
1855,December,,Denmark. Aalbaekbugten,North Atlantic,NK,NA,NA,NA,,Stranded
1860,,,Shetland Islands. between Hillswick and Scalloway,North Atlantic,NK,NA,NA,NA,,Stranded
1861,November,30,Canary Islands. Teneriffe 20 miles NE,North Atlantic,NK,NA,NA,NA,,Captured
1862,,,North Atlantic,North Atlantic,NK,NA,NA,NA,,NK
1870,September,,New Zealand. east coast of Wellington. Waimarama,South Pacific,NK,NA,4.8514,,,Stranded
1871check,Winter,,Canada. Newfoundland. Lamalein,North Atlantic,NK,NA,NA,NA,,Stranded
1871,October,c. 20,Grand Banks,North Atlantic,NK,NA,NA,NA,,Floating
1871check,Winter,,Canada. Newfoundland. Lamalien,North Atlantic,NK,NA,NA,14.3256,,Stranded
1871,,,New Zealand. Wellington,South Pacific,NK,NA,NA,NA,,Stranded
1872,Autumn/Winter,,Canada. Newfoundland. Coombs Cove,North Atlantic,NK,,4.8768,15.8496,,Floating
1872,December,,Canada. Newfoundland. Bonavista Bay,North Atlantic,Female,NA,NA,9.7536,,Stranded
1872,December,,Canada. Newfoundland. Bonavista Bay,North Atlantic,NK,NA,NA,NA,,NK
before 1873,,,Iceland,North Atlantic,NK,NA,NA,NA,,NK
1873,,,Yedo (Tokyo) fishmarket,North Pacific,NK,1.8542,4.14,6,,Captured
1873,October,26,Newfoundland. Conception Bay. Portugal Cove,North Atlantic,NK,NA,NA,NA,,Floating
1873,November,25,Canada. Newfoundland. Logy Bay,North Atlantic,Male,2.1336,NA,NA,,Captured
Before or during 1874,,,South American COAST,NK,NK,NA,NA,NA,,NK
1874,,,Norway. Foldenfjord,North Atlantic,NK,NA,4,,,NK
1874,November,2,St Pauls Island. Indian Ocean,Indian Ocean,NK,NA,NA,NA,,NK
1874,November,2,Indian Ocean. Reunion Island. Saint Paul.,Indian Ocean,NK,NA,NA,7.15,,Stranded
1874,December,,Canada. Newfoundland. Fortune bay Grand bank,North Atlantic,NK,NA,NA,12.954,,Stranded
1874/1875 Winter,,,Canada. Newfoundland. Nr Harbor Grace,North Atlantic,NK,NA,NA,NA,,Stranded
1875,April ,25,Boffin Island Connemara. Ireland,North Atlantic,NK,NA,NA,NA,,Captured
Before 1875,,,North Atlantic,North Atlantic,NK,NA,NA,NA,,In whale
Before or in 1875,,,Canada. Newfoundland. Straights of Belle Isle. West St Modent. On Labrador side,North Atlantic,NK,NA,NA,15.8496,,Floating
Beforte 1875,,,Boffin Island Connemara. Ireland,North Atlantic,NK,NA,NA,NA,,NK
1875,October,,Grand Banks. 44 - 44 30N 49 30 to 49 50 W,North Atlantic,NK,NA,NA,NA,,Floating
1876,,,New Zealand. Cape Campbell. Clifford Bay.,South Pacific,NK,2.1336,NA,NA,0.0183,Stranded
1876,November,20,Canada. Newfoundland. Notre Dam Bay. Hammer Cove,North Atlantic,NK,NA,NA,NA,,Stranded
1877,September,24,Canada. Newfoundland. Trinity Bay. Catalina,North Atlantic,NK,NA,6.25,12.0396,0.095,Stranded
1877,October,,Canada. Newfoundland. Trinity Bay,North Atlantic,NK,NA,NA,NA,,NK
1877,November,21,Canada. Newfoundland. Trinity Bay. Lance Cove,North Atlantic,NK,NA,NA,13.4112,,Stranded
?1877,,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1878,November,2,Canada. Newfoundland. Notre Dam Bay. Thimble Tickle,North Atlantic,NK,NA,NA,16.764,,Stranded
1878,December,2,Canada. Newfoundland. Notre Dam Bay. Three Arms,North Atlantic,NK,NA,9.4488,,,Stranded
1879,,,Canada. off Nova Scotia. 42deg 49 min N. 62 deg 57 W,North Atlantic,NK,NA,NA,NA,,In predator
1879,May,23,New Zealand. Cook Strait. Lyall Bay.,South Pacific,NK,2.794,4.6736,,,Stranded
1879,October,,Canada. Newfoundland. Conception Bay,North Atlantic,NK,NA,NA,NA,,NK
1879,November,1,Canada. Newfoundland. Bonavista Bay. James Cove,North Atlantic,NK,NA,,11.5824,,Floating
1880,April ,,Canada. Newfoundland. Grand Banks ,North Atlantic,NK,NA,NA,NA,,Floating
1880,June,6,New Zealand. Cook Strait. Island Bay.,South Pacific,NK,2.286,5.9436,10.3886,,Stranded
Before 1880,,,New Zealand. Nelson. near Boulder Bank.,South Pacific,NK,NA,NA,NA,,NK
Before 1880,,,New Zealand. east coast. near Flat Point.,South Pacific,NK,NA,NA,NA,,NK
1880,October,,County Clare. Ireland,North Atlantic,NK,NA,NA,NA,,Stranded
c. 1880,,,Kvaenangen. Norway,North Atlantic,NK,NA,NA,NA,,NK
c. 1880,,,Tromsoysund. Tonsvik,North Atlantic,NK,NA,NA,NA,,NK
1881,November,10,Canada. Newfoundland. Portugal Cove,North Atlantic,NK,1.267968,NA,8.5344,,Floating
1886,June,30,New Zealand. Cape Campbell,South Pacific,NK,2.5146,5.0292,8.7884,,Stranded
1887 possibly 1880 according to F”rch 1998 but Kirk is categorical,October,Early,New Zealand. Lyall Bay,South Pacific,NK,1.8034,NA,16.8148,0.017,Stranded
1888,August,27,Between Pico and St George. Azores,North Atlantic,NK,NA,NA,NA,,Captured
1889,,,Norway,North Atlantic,NK,NA,NA,NA,,NK
Before 1892,,,Sao Miguel. Azores,North Atlantic,NK,NA,NA,NA,,Stranded
1892,,,Greenland,North Atlantic,NK,NA,NA,NA,,NK
1895,Febraury,4,Bay of Tateyama. Awa Province. Japan,North Pacific,Female,0.72,NA,3.8,0.01,Captured
1895,July,18,Off Angra. Azores,North Atlantic,Male,0.46,NA,NA,,In whale
1896,April,10,Hevnefjord. Kirkseteroren. Norway,North Atlantic,Female,2.5,NA,NA,,Stranded
1896,September,27,Hevnefjord. Kirkseteroren. Norway,North Atlantic,Male,NA,NA,NA,,NK
Before 1898,,,Iceland,North Atlantic,NK,NA,NA,NA,,NK
1898,,,North of Bhamas,North Atlantic,NK,NA,NA,NA,,NK
Before or in 1899,,,US. Gulf of Mexico,North Atlantic,Male,0.61,NA,NA,,Floating
1902,,,North of Faeroes,North Atlantic,NK,0.63,NA,2.9,,Floating
1903,August,15,Mjofjord. Iceland,North Atlantic,NK,NA,NA,NA,,NK
1906,July,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1907,,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1908,,,San Francisco. California. USA,North Pacific,NK,NA,NA,NA,,NK
1909,March,,Off Highland Light. Truro. Massachusetts,North Atlantic,NK,NA,5.03,,,Floating
1909,July,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1910,September,,off County Mayo,North Atlantic,NK,NA,NA,NA,,NK
1910/1911,Autumn,,Lundenes. Grytoy. Senjen. Norway,North Atlantic,NK,NA,1.2,,,NK
1911,June,,Monterey Bay,North Pacific,NK,NA,NA,NA,,Floating
1912,,,Japan,North Pacific,NK,NA,NA,NA,,NK
1912,February,,Smola. Veiolmen. Norway,North Atlantic,NK,1.9,NA,8.6,,Floating
1912,October,12,,North Pacific,NK,NA,NA,NA,,NK
1913,June-September,,Belmullet. Ireland,North Atlantic,NK,1.8288,NA,6.788883413,,In whale
1915,November,22,Bergen. Austreim. Ler›y,North Atlantic,Female,1.31,3.335,7.155,0.0158,Stranded
1916,March,17,Norway. west og Hevenfjord. Hellandsjo,North Atlantic,NK,NA,NA,NA,,NK
1916,November,,Helgoland. Atlantic Ocean,North Atlantic,NK,NA,NA,NA,,NK
1917,October or Nov,29 or 2,Skateraw.Berwickshire. Scotland,North Atlantic,NK,NA,NA,5.969,,Stranded
1918,,,Kilkeel. Ireland,North Atlantic,NK,NA,NA,NA,,Stranded
1918,January ,10,off Awa Province Japan,North Pacific,Male,1.1,NA,NA,,Captured
1919,November,,Off Nordland. Norway,North Atlantic,NK,NA,NA,NA,,NK
1920,Feb,,North Uist. Hebrides,North Atlantic,NK,NA,NA,NA,,Stranded
1921,,,Wick. Moray Firth,North Atlantic,NK,NA,NA,NA,,Stranded
1922,,,Caithness. Scotland,North Atlantic,NK,NA,NA,NA,,NK
1924,,,South Africa. Margate,Indian Ocean,NK,NA,NA,NA,,NK
1924,October,9,New Zealand. Bluff,South Pacific,NK,2.1336,NA,NA,,NK
Before Spring 1926,,,US. Gulf of Mexico. off Missippi delta or Urago Bay. Oki Islands Japan,NK,NK,NA,NA,NA,,Floating
1926,Early  Spring,,Japan. Oki Islands. Urago Bay,North Pacific,NK,NA,NA,NA,,NK
1926,,,Australia. Victoria. Wingan Inlet.,South Pacific,NK,NA,NA,NA,,NK
1927,December,1927,Fitjar. Kalveidoy. Norway,North Atlantic,NK,1,NA,7.5,,NK
1928,,,Off Greenland,North Atlantic,NK,NA,NA,NA,,NK
1928,March,4,Ranheim. Norway,North Atlantic,Male,1.37,NA,7.9,0.015,Stranded
1930,,,Miura penisula. japan,North Pacific,NK,NA,NA,NA,,NK
1930 - 1933,,,Pacific between Hawaii and Samoa,North Pacific,NK,NA,NA,NA,,NK
1930,January,24,Gullane. East Lothian. Scotland,North Atlantic,NK,1.422,NA,NA,,Stranded
1930? 1930 F”rch 1998,,,New Zealand. Kaikoura. Goose Bay.,South Pacific,NK,3.3528,NA,NA,,Stranded
1933,January,14,Scarborough,North Atlantic,NK,1.651,NA,NA,,Stranded
1933,December,,Canada. Newfoundland. Dildo,North Atlantic,Male,1.56,NA,NA,,NK
1935,November,12,Canada. Newfoundland. Conception Bay,North Atlantic,Female,2.1844,NA,7.92,,Stranded
1935,June,26,Gulf of Gascogne,North Atlantic,Female,1.38,NA,8.18,,Captured
1937,January,7,Bell Rock. off Abroath,North Atlantic,NK,NA,NA,NA,,Captured
1937,July,22,New Zealand. Wellington. Petone.,South Pacific,NK,NA,NA,NA,,Stranded
1939,,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1941,,,Susa Bay.Yamaguchi Prefecture.Japan.,North Pacific,NK,NA,NA,NA,,NK
1945,,,New Zealand. Wellington East Coast. Pahau River Mouth.,South Pacific,NK,NA,NA,NA,,Stranded
1946,September,,Romsdal. Norway,North Atlantic,NK,NA,NA,9.35,,Stranded
1946,,,Vikebukt. Norway,North Atlantic,NK,NA,NA,NA,,NK
1946,September,7,Hirtshals. Denmark,North Atlantic,NK,NA,1.75,,,NK
1948,September,mid,Australia. Victoria. Wingan Inlet,South Pacific,NK,2.3368,NA,NA,,Stranded
1949,October,2,Whalefirth Voe. Shetland,North Atlantic,NK,NA,NA,NA,,Stranded
1949,November,30,Nigg Bay. Aberdeen,North Atlantic,Female,1.17,NA,5.87,,Stranded
1950 - 1955,,,Off Mississippi Delta. Gulf Of Mexico,North Atlantic,NK,NA,NA,NA,,NK
1951,August,22,270 miles west Shpanberd Islands,North Pacific,NK,NA,NA,NA,,Observed
1951,December,14,Easthaven. Angus,North Atlantic,NK,1.4478,NA,NA,,Stranded
1952,,,Florida Keys 23+35.4/60 N + 80+5.8/60 W,North Atlantic,NK,NA,NA,NA,,Floating
1952,,,Carnoustie. Scotland,North Atlantic,NK,NA,NA,NA,,NK
1952,Summer,,Near Bonin Islands. western Pacific,North Pacific,NK,0.094,NA,NA,,In whale
1952,Summer,,Near Bonin Islands. western Pacific,North Pacific,NK,0.104,NA,NA,,In whale
1952,June,12,Madeira Island,North Atlantic,NK,1.86,4.9,10.6,,In whale
1953,,,Norway,North Atlantic,NK,NA,NA,NA,,NK
1954,January,,New Zealand. Kaikoura. Kie Kie Bay,South Pacific,NK,NA,NA,NA,,Captured
1954,June,22,1 mile north of Skaw. Skaggerack. Denmark,North Atlantic,Male,1.01,2.815,6.185,,Floating
1954,July,30,Ranheim. Norway,North Atlantic,NK,1.3,NA,NA,,NK
1954,October,2,Ranheim. Norway,North Atlantic,Female,1.79,NA,9.24,0.0156,NK
1954,,,Off Missisippi Delta,North Atlantic,Male,0.612,NA,NA,,Floating
1955,July,4,Off Fayal. Azores,North Atlantic,NK,1.9812,4.96,10.49,0.0194,In whale
1956 or before,,,Fowey Rocks. Florida,North Atlantic,NK,NA,NA,14.3256,,Captured
Before sometime in 1956,,,US. Gulf of Mexico. off Missippi delta,North Atlantic,NK,NA,NA,NA,,Floating
1956,May,12,A mile north of Makara Stream. Wellington West coast,South Pacific,NK,1.829,NA,NA,0.018,Stranded
Before 1957,,,Japan. Oki Islands. Urago Bay.,North Pacific,NK,NA,NA,NA,,NK
1957,February,1,Rattray Head. Aberdeenshire,North Atlantic,NK,0.94,NA,7.2898,,Captured
1957,December,14,Misaki. Oki Islands. Japan,North Pacific,NK,NA,NA,NA,,NK
1958,,,Bahamas,North Atlantic,Female,NA,NA,14.335,,Floating
1958,February,4,Japan. Hyogo Prefecture. Hamasakamachi. Ashiya,North Pacific,NK,NA,NA,NA,,Stranded
1958,Febraury,7,Off Hagi. Yamaguchi Prefecture. Japan,North Pacific,NK,NA,NA,NA,,NK
1958,March,3,Sandane. Nordfjord. Norway,North Atlantic,Male,0.87,2.83,,0.012,NK
1959,August,,Off Madeira,North Atlantic,Male,0.385,1.238,2.5,,In whale
1960,January?,,Spain. Asturias,North Atlantic,NK,NA,NA,NA,,NK
1960,Febraury,6,Arahama.Kashiwazaki-shiNiigata PrefectureJapan.,North Pacific,NK,1.3,NA,3.5,,Stranded
1961,January,23,Oi. Hirata-shi.Shimane PrefectureJapan,North Pacific,NK,NA,NA,2.6,,Stranded
1961,February,18,Camara de Lobo. Madeira Island,North Atlantic,Female,0.057,NA,NA,,In predator
1961,April-July,,Bering Sea. near Commander Islands and westernAleutian Islands.,North Pacific,NK,NA,NA,NA,,In whale
1961,August,,Sao Miguel. Azores,North Atlantic,NK,NA,6.8,,,In whale
1961,Sepember,16,North America. California,North Atlantic,NK,NA,NA,NA,,In whale
1961,December,,Kings Cove. Bonavista Bay. Newfoundland,North Atlantic,NK,NA,NA,NA,,NK
1962,,,Spain. Asturias. Las Tiberas,North Atlantic,NK,NA,NA,NA,,NK
1962,,,Donkergat Whaling Station. South Africa,South Atlantic,NK,NA,NA,NA,1.09,In whale
1962,April-july,,Bering Sea. near Commander Islands and westernAleutian Islands.,North Pacific,NK,NA,NA,NA,,In whale
1962,June,23,South Africa. Durban Whaling Station.,Indian Ocean,Male,NA,NA,NA,,In whale
1963,,,Donkergat Whaling Station. South Africa,South Atlantic,Female,0.665,NA,NA,,In whale
1963,June,13,South Africa. Durban Whaling Station,Indian Ocean,NK,NA,NA,NA,0.0148,NK
1963,June,15,United States. off central California.,North Pacific,NK,NA,NA,NA,,In whale
1963,August?,,New Zealand. Cook Strait.,South Pacific,NK,NA,NA,NA,,In whale
1963,August,13,South Africa. Durban Whaling Station.,Indian Ocean,NK,NA,NA,NA,0.0148,In whale
1963,December,17,off Chile (19E51S. 95E09W).,South Pacific,Male,0.045,NA,NA,,In predator
1964,,,Southwestern Pacific,South Pacific,NK,NA,NA,NA,,In whale
1964,,,Southeastern Atlantic Ocean,South Atlantic,NK,NA,NA,NA,,In whale
1964,,,Southwestern Indian Ocean.,Indian Ocean,NK,NA,NA,NA,,NK
1964,April,23,South Africa. Durban Whaling Station.,Indian Ocean,NK,0.58,NA,NA,,In whale
1964,October,23,Conche. White Bay.Canada. Newfoundland. ,North Atlantic,Female,1.851,4.204,8.846,,Floating
1964,December,5,Chapel Arm. Trinity Bay. Newfoundland. Canada,North Atlantic,Female,1.26,NA,NA,,Floating
1965,September,29,Newmans Cove. Bonavista BayCanada. Newfoundland. ,North Atlantic,Female,1.37,NA,NA,,Captured
1965,October,8,Lance Cove. Trinity Bay. Newfoundland,North Atlantic,Female,1.27,3.33,6.47,,Floating
1965,November,24,Springdale Notre Dame BayCanada. Newfoundland. ,North Atlantic,Female,1.61,3.1,5.51,,Stranded
1966,June,22,41 32 N 9 48 W Off Vigo Spain,North Atlantic,NK,NA,NA,NA,,In whale
1966,November,9, Sweet Bay. Bonavista Bay. Newfoundland. Canada,North Atlantic,Female,1.42,NA,NA,,Stranded
1966,November,24,Wild Cove. Fogo Island.  Notre Dame Bay. Newfoundland.Canada,North Atlantic,Female,1.07,2.831,,,Stranded
1966,November,25,United States. off central California.,North Pacific,NK,NA,NA,NA,,In whale
1966,November,28,Canada. Newfoundland. Straits of Belle Isle. Eddies Cove East,North Atlantic,NK,NA,NA,NA,,Floating
1967,June,6,Off Iceland 64 50 N 29 30 W,North Atlantic,NK,NA,NA,NA,,In whale
1967,July - August,,Denmark Strait,North Atlantic,NK,NA,NA,NA,,In whale
1967,July 22 - August 23,,Off Iceland          ,North Atlantic,NK,NA,NA,NA,,In whale
1968,May,15,Bermuda. South Shore,North Atlantic,NK,0.7,NA,NA,,Stranded
1968,,,Spain. Asturias. Puerto de Vega,North Atlantic,NK,NA,NA,NA,,NK
1969,,,Lake Worth Florida. North America,North Atlantic,NK,NA,NA,NA,,NK
1969,June,9,Straits of Florida,North Atlantic,NK,NA,NA,NA,,Floating
1969,June ,13,North America. California,North Atlantic,NK,NA,NA,NA,,NK
1960s,,,Strait of Florida,North Atlantic,NK,NA,NA,NA,,Floating
1970,October,11,San Juan. puerto Rico,North Atlantic,NK,0.851,NA,NA,,Floating
1970,September,18,Grand Banks. of St Pierre Island,North Atlantic,NK,NA,NA,NA,,Captured
1970,October,31,Near Azores 38 34 N 28 11 W,North Atlantic,NK,NA,NA,NA,,In predator
1970,November,,Tasman Sea,South Pacific,Female,0.41,NA,NA,,In whale
1970,December,30,Eastern Australia. New South Wales. off Botany Bay,South Pacific,NK,NA,NA,NA,,In predator
1970-1973,,,Southeastern Atlantic Ocean 30-43 S,South Atlantic,NK,NA,NA,NA,,In whale
1970-1973,,,Antarctic Ocean (Atlantic),Southern Ocean,NK,NA,NA,NA,,In whale
Before or during 1971,,,Indian Ocean,Indian Ocean,NK,NA,NA,19,,In whale
1971,November,18,Sunnyside. trinity Bay. Canada. Newfoundland ,North Atlantic,Female,1.77,4.2,8.06,,Stranded
1972,February,,Puerto de El Musel. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1972,July,,New Zealand. Kaikoura. near Rakautura.,South Pacific,NK,NA,NA,NA,,Floating
1972,December ,8,Atlantic 6 34 S 5 W,South Atlantic,NK,NA,NA,NA,,In predator
1962,November,12,US. Florida East coast,South Atlantic,Male,0.664,NA,NA,,Floating
1972,,,South Africa. off Durban.,Indian Ocean,Female,1.45,NA,NA,,In whale
1974,May,14 or 15 (Hoving et al. 2004),Green Point. Table Bay,South Atlantic,Female,1.7,NA,NA,0.0167,Stranded
1974,October,,28 S 14 11 E,South Atlantic,NK,NA,NA,NA,,NK
1975,February,18,Verdalsora. Trondheimsfjorden. Norway,North Atlantic,NK,NA,NA,NA,,Stranded
1975,October,28,Bonavista. Bonavista Bay. Canada. Newfoundland. ,North Atlantic,Male,1.32,3.29,,,Stranded
1976,January,26,Off Joban district 36 39N 141 51 E,North Pacific,NK,NA,NA,NA,,In whale
1976,January,26,Off Joban district 36 40N 141 53 E,North Pacific,NK,NA,NA,NA,,In whale
1976,February,3,Off Joban district 36 44N 141 53 E,North Pacific,NK,0.585,NA,NA,,In whale
1976,February,4,Off Joban district 36 46N 141 58 E,North Pacific,NK,NA,NA,NA,,In whale
1976,March,,New Zealand. Wellington south coast.,South Pacific,NK,NA,NA,NA,,Stranded
1976,June,17,New Zealnd. Red Rocks,South Pacific,NK,NA,NA,NA,0.018,NK
1976,August,,Off Vancouver. Oregon???. Univted States,South Atlantic,NK,NA,NA,NA,,In whale
1976,September,,27 42S 14 13 E,South Atlantic,Female,1.95,4.5,,,Captured
1977,November,19,North Berwick. Scotland,North Atlantic,Female,1.61,4.34,6.44,,Stranded
1977,November,21,Canada. Newfoundland. Trinity Bay. Lance Cove,North Atlantic,NK,NA,NA,NA,,Stranded
1978,April,,China. Shandong Province. Jiaonon.,North Pacific,NK,NA,NA,NA,,In whale
1978,June,15,Mack Arch. Oregon North Pacific Ocean,North Pacific,NK,NA,NA,NA,,NK
1978,June,21,US. Staits of Florida. off Fort Lauderdale,North Atlantic,Male,0.167,NA,NA,,In predator
1978,July,,New Zealand. Gisborne,North Atlantic,NK,NA,NA,NA,,Captured
1978,Late,,Western Australia. Albany.,South Pacific,NK,NA,NA,NA,,NK
Before sometime  in 1979,,,Japan. Ishikawa Prefecture. Noto-cho.,North Pacific,NK,NA,5.5,,,Captured
Before 1980,,,Oregon. United States,North Pacific,NK,NA,NA,NA,,NK
1979,August,20,Cortez Bank California!!,South Atlantic,NK,0.81,NA,NA,,Captured
1979,November,19,Bonavista Bay. Cottels Island. St Brendans Newfoundland,North Atlantic,Female,1.54,NA,NA,,Stranded
before or in 1980,,,United States. Oregon.,North Pacific,NK,NA,NA,NA,,NK
1980,,,Eastern Australia. off New South Wales coast.,Indian Ocean,NK,NA,NA,NA,,In predator
1980,Early February,,US. Massachusetts. Plum Island,North Atlantic,NK,NA,NA,NA,,Stranded
1980,,,Spain. Asturias. Vertical de Cudillero,North Atlantic,NK,NA,NA,NA,,NK
1980,April ,3,West of California 34 39 - 35 39 N 126 25- 127 28 W,North Pacific,Male,NA,NA,NA,,NK
1980,April ,3,West of California 34 39 - 35 39 N 126 25- 127 28 W,North Pacific,Female,NA,NA,NA,,NK
1980,July,2,Northeast Pacific. 1500 miles off Oregon (42E35N. 148E35W).,North Pacific,NK,1.64,NA,NA,,Captured
1980,October,21,Patton Escarpment. California. United States,North Pacific,NK,NA,NA,NA,,NK
1981,,,Asturias Spain,North Atlantic,NK,NA,NA,NA,,NK
1981,February,,K?neohe Bay. Oahu. Hawaiian Islands,North Pacific,NK,NA,6.096,,,Captured
1981,May,20,Southeast Atlantic. Vavilov Ridge 7 56 S. 0 57 E,South Atlantic,NK,NA,NA,NA,,Captured
1981,August,3,Southeast Atlantic. 27 45 S 10 45 E,South Atlantic,NK,0.81,NA,NA,,Captured
1981,September,7,Azores,North Atlantic,NK,NA,NA,NA,,In whale
1981,October,11,Tasman Sea (33E19.4S. 155E00.3E).,North Pacific,NK,0.103,NA,NA,,Captured
1981,November,10,Canada. Newfoundland. bonavista Bay. Hare Bay,North Atlantic,Female,1.59,3.8,5.73,,Stranded
1981,December,,Spain. Asturias. Playa de Luarca,North Atlantic,NK,NA,NA,NA,,NK
1982,January ,30,Australia. off New South Wales (33o44S. 153o00E).,Indian Ocean,Female,0.422,NA,NA,,Captured
1982,July,,New Zealand. North Canterbury,South Pacific,NK,NA,NA,NA,,Captured
1982,August,23,Rad›y. Norway,North Atlantic,Female,1.62,NA,NA,0.0166,Captured
1982,September,,Northern North Sea 59 N 0.5 E 100 miles nE aberdeen,North Atlantic,Male,NA,NA,NA,,Captured
1982,October,30,Canada. Newfoundland. Notre Dame Bay. Fogo Island. Sandy Cove,North Atlantic,Female,1.69,NA,NA,,Stranded
1982,December,30,Sea of Japan. Niigata Prefecture. Kuzuareyama coast of Noh-machi.,North Pacific,NK,NA,3.98,,,Stranded
1983,,,Las Tiberas. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1983,August,19,New Zealand.North Island. west coast. New Plymouth (39E03S.174E04E),South Pacific,NK,2.035,NA,NA,0.0192,Captured
1984,,,Cal. Sierra d Oviedo. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1984,January ,08-Sep,Cove Bay. Aberdeen,North Atlantic,Female,1.7,4.17,,,Stranded
1984,March,8,Auckland Islands (51E16S. 166E52E).,South Pacific,Female,1.93,NA,NA,0.0179,Captured
1984,April,12,southeast coast (41E11S.176E44E).. North Island,South Pacific,Female,0.93,NA,NA,,Captured
1984,Aprial,,Tazones. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
