Year,Month,Day,Locationorig,Location,Sex,FinalML,WL,EL,LRL beak,Capture
1984,May,,South African waters. Namimbia,South Atlantic,Female,1.25,NA,6,,Captured
1984,May,3,North Island. west coast (40E54S.176E14E).,South Pacific,Female,1.777,3.8424,,0.0185,Floating
1984,May,9,New Zealand. Wellington. Cape Palliser.,South Pacific,NK,NA,NA,NA,,Stranded
1984,May,12,North Island. south coast (41E17S.174E47E).,South Pacific,Female,1.825,NA,NA,,Stranded
1984,June,,Bahamas. Chub Cay,North Atlantic,NK,NA,NA,NA,,Floating
1984,June,,New Zealand. South Island. west coast hoki grounds.,South Pacific,NK,NA,NA,NA,,Captured
1984,July,25,South Island. northwest coast (41E05S.170E52E).,South Pacific,Female,1.56,NA,NA,0.0168,Captured
1984,September,24,South Island. southwest coast (46E18S.166E30E).,South Pacific,Female,2.02,NA,9.6134,0.018,Captured
1980,August,20,Orange River Mouth,South Atlantic,NK,0.81,NA,NA,,Captured
1985,June ,6,New Zealand (47E04S. 169E32E).,South Pacific,Female,NA,NA,NA,,Captured
1985,,,New Zealand lots of larvae,South Pacific,NK,NA,NA,NA,,NK
Before or during 1986,,,Location unknown,NK,NK,NA,NA,NA,,In whale
Before or during 1986,,,South Africa,NK,NK,1.98,NA,NA,,In whale
Before or during 1986,,,South Africa,NK,NK,NA,NA,NA,,In whale
1986,January,29,Off Aberdeen,North Atlantic,NK,1.45,2.98,,,Captured
1986,March,,Mouth of Orange River 27 52 S 14 40 E,South Atlantic,Female,1.68,NA,NA,0.01735,Captured
1986,March,31,Aukland Islands (50E50S. 166E51E).,South Pacific,Female,1.72,3.8468,,,Captured
1986,April,11,North Island. northeast coast (35E43S.174E20E).,South Pacific,Male,1.26,NA,NA,,Floating
1986,April,17,South Island. east coast (43E38S.174E43E).,South Pacific,Female,1.69,NA,NA,0.018,Captured
1986,May,27,South Island. southwest coast (46E32S.166E11E).,South Pacific,Female,1.83,NA,NA,0.018,Captured
1986,July,18,South Island. west coast (42E03S.170E26E).,South Pacific,NK,1.38,NA,NA,,Captured
1986,September,8,South Island. east coast (43E43S.174E56E).,South Pacific,Female,2.14,NA,NA,0.0185,Captured
1986 or 1987,,,Lord Howe Rise,South Pacific,NK,1.8,NA,NA,,Captured
1987,February,26,South Island. east coast (44E09S.173E44E).,South Pacific,Male,1.9,4.259,,,Captured
1987,March,5,Off Shetland,North Atlantic,NK,1.1,NA,NA,,Captured
1987,May,3,North Island. southeast coast (41E31S.176E43E).,South Pacific,Female,1.61,NA,NA,,Captured
1987,April to July,,approximately 40ES. 120EW,South Pacific,NK,NA,NA,NA,,Captured
1987,May,9,South Island. east coast (43E38S.174E14E).,South Pacific,Female,2.135,NA,NA,,Captured
1987,July,26,South Island. west coast (42E35S.170E23E).,South Pacific,NK,1.3,NA,NA,,Captured
1987,August,16,South Island. west coast (41E21S.170E30E).,South Pacific,NK,1.37,NA,NA,,Captured
1987,August,25,South Island. west coast (41E31S.170E34E).,South Pacific,Female,1.23,NA,NA,,Captured
1987,September,2,Aukland Islands. east of (51E18S.170E23E).,South Pacific,NK,1.78,NA,NA,,Captured
1987,October,,South African waters (29deg46S. 14deg43E).,South Atlantic,Female,1.79,NA,NA,0.017,Captured
1987,October,13,South Island. south coast (46E24S.166E23E).,South Pacific,Female,1.77,NA,NA,,Captured
1987,November,4,South Island. south coast (47E32S.169E10E).,South Pacific,NK,2.01,3.94,,,Captured
1987,November,5,South Island. southwest coast (46E31S.166E30E).,South Pacific,NK,1.77,NA,NA,,Captured
1987,November,26,off New Zealand (47ø29?S 169ø35?E) at 540ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1987,December,5,New Zealand (47E28S. 169E35E).,South Pacific,NK,NA,NA,NA,,Captured
1987,December,6,New Zealand (47E30S. 169E19E).,South Pacific,NK,NA,NA,NA,,Captured
1987,Late,,New Zealand. South Island. hoki grounds,South Pacific,Female,1.83,NA,NA,,Captured
1987,,,Sydney. Australia,South Pacific,NK,NA,NA,NA,,NK
1988,January,25,Aukland Islands (51E00S. 166E42E).,South Pacific,NK,1.88,3.98,9.83,,Captured
1988,April ,16,Japan. Totori Prefecture. Iwamicho. Shirohara.,North Pacific,NK,1.3,NA,NA,,Stranded
1989,March ,12,Namibia (26E07S. 13E41E).,South Atlantic,Male,1.22,NA,NA,,Captured
1989,August,,Bermuda. South Shore,North Atlantic,NK,NA,NA,NA,,Floating
1989,September,,Santa Catarina State. Brazil 27 24S45 37 W,South Atlantic,Female,1.51,3.71,,,Floating
1990,Febraury ,9,Namibia,South Atlantic,Female,1.05,NA,NA,0.0142,Captured
1990,February,10,Long Rock. Penzance. Cornwall,North Atlantic,NK,NA,NA,NA,,In whale
1991,March ,14,South Africa. Kommetjie (Cape Peninsula) (possibly Soetwater),South Atlantic,Female,1.85,NA,NA,,Stranded
1991,June,15,South Africa (34E47S 18E14E),South Atlantic,Female,1.4,NA,NA,0.018,Captured
1991,July,20,Tasmania?,Indian Ocean,NK,NA,NA,NA,,NK
c. 1992,,,Playa de Xag¢. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1992,,,El Musel. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1992,May,7,South Africa. Kommetjie (Cape Peninsula),South Atlantic,NK,NA,NA,NA,0.0171,Stranded
1992,June,10,South Africa (32E53S) West of Cape Columbine (,South Atlantic,Female,1.77,NA,NA,0.0175,NK
Before 1993,,,Azores,North Atlantic,NK,1,NA,NA,,In whale
1993,May,14,Mauritius. Morne Brabant,Indian Ocean,NK,NA,4.5,,,Stranded
1993,December,23,Bermuda,North Atlantic,NK,NA,NA,NA,,Floating
1992 and 1994,,,Crozet Island,Indian Ocean,NK,NA,NA,NA,,In predator
1994,,,Near Kerguelen Island,Indian Ocean,NK,NA,NA,NA,,In predator
1994,April,21,Japan. off central Honshu (35E20.1N. 143E00.1E),North Pacific,NK,0.0198,NA,NA,,Captured
1994,May,,New Zealand (43E55S. 176E50E).,South Pacific,NK,1.85,NA,NA,,Captured
1994,May,,New Zealand (43E48S. 177E35E).,South Pacific,NK,1.11,NA,NA,,Captured
1995,March,9,Australia. SSE of Cape Banks (37E56.32S. 140E20.79E).,Indian Ocean,NK,1.53,3.6,6.27,0.018,Floating
1995,April ,2,Golfo San Jorge. Argentina  46deg  30 S 66 00 W,South Atlantic,Female,1.625,NA,NA,,Captured
1995,April,26,W of Aran Isles 53 00N 12 20 W,North Atlantic,Male,1.028,2.815,5.97,0.0109,Captured
1995,April,30,South Africa. West of Cape point 34 22 S 17 45 E,South Atlantic,Male,1.03,NA,NA,0.014,Captured
1995,May,3,Off New Zealnd,South Pacific,NK,NA,NA,NA,,NK
1995,June,21,South Africa. West of Saldanha 33 10 S 16 40 E,South Atlantic,Female,1.38,NA,NA,0.0169,Captured
1995,June,26,Straits of Florida off Fowey Rocks Light,North Atlantic,NK,NA,NA,NA,,Floating
1995,July,10,South Africa (32E50S 16E40E) West of Cape Point (west of Columbine_,South Atlantic,Male,1.18,NA,NA,0.0118,NK
1995,July,15,Bustamante Bay (San Jorge Gulf. 45ø12S. 66ø30W),South Atlantic,Female,1.3,NA,NA,,Stranded
1995,June,24,Porcupine Bank. Ireland,North Atlantic,Male,0.975,NA,5.95,0.0127,Captured
1995,June,25,SW Aran Isles,North Atlantic,Male,1.084,2.483,,0.0133,Captured
1995,September ,27,Playa de los Pozos. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1995,December,1,off South Island (43E24 - 43E31S.169E20 - 169E10E).,South Pacific,NK,NA,NA,NA,,NK
1995,December,31,off South Island (43E12.3S. 178E19.9W).,South Pacific,Female,2,5.18,10.53,0.0182,Captured
Before or in 1996,,,South Australia. off Cape Banks. near Mt Gambier.,Indian Ocean,Female,NA,3.6,9.24,,NK
1996,,,Chatham Rise. New Zealand,South Pacific,NK,NA,NA,NA,,NK
1996,,,Chatham Rise. New Zealand,South Pacific,NK,NA,NA,NA,,NK
1996,,,New Zealand,South Pacific,NK,NA,NA,NA,,NK
1996,,,Tottori. Japan,North Pacific,NK,NA,NA,NA,,NK
1996,January,early,off South Island (43E26.47S.176E23.17E).,South Pacific,NK,NA,NA,NA,,Captured
1996,Febraury,,off New Zealand (43ø26?S 176ø23?E) at 310ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1996,February,,Perlora. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1996,march,14,Off the west coast of Tasmania. 42 54 S 145 0 E,Indian Ocean,Female,NA,NA,NA,,Captured
1996,march,22,Off the west coast of Tasmania. 42 54 S 145 0 E,Indian Ocean,Female,2.4,NA,NA,,Captured
1996,May ,24,Bustamante Bay 45 deg 08 S. 66deg 31.5W,South Atlantic,Female,1.94,4.2,,0.0164,Stranded
1996,June,10,Tasmania. off King Island.,Indian Ocean,NK,NA,NA,NA,,Captured
1996,October,,Northwest of Tasmania. Off King Island. 40 S 143 9  E 40 15 S - 143 15 E,Indian Ocean,Female,1.59,NA,NA,,Captured
1997,October,28,Straits of Florida. Bahamas 10 miles offshore,North Atlantic,NK,NA,NA,NA,,Floating
1997,off Newzealnd,,,South Pacific,Male,NA,NA,NA,,NK
1997,,,Sergipe Brazil,South Atlantic,NK,NA,NA,NA,,NK
1997,November,,Iberia. Fuengirola Beach near Strait of Gibralter 36deg 34min 36secN 04 35 06 W,North Atlantic,Female,1.495,1.934,,,Stranded
1997,December,1,Off New Zealand,South Pacific,NK,NA,NA,NA,,NK
1997,February,2,West of Cape Town 33 45 S 17 30 E,South Atlantic,Male,NA,NA,NA,,Captured
1998,January ,18,British Isles. Scotland. Aberdeenshire Coast,North Atlantic,Female,1.23,NA,4.66,,Stranded
1998,April,9,Patagonian Shelf 50 39 S 66 35.4 W or poss 35.3 (Martins and Perez 2009),South Atlantic,Female,1.766,NA,NA,0.0165,Captured
1998,April,9,off New Zealand (44ø00?S 177ø35?W) at 500ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1998,April,10,off New Zealand (43ø56.8?44ø03.8S 175ø51.6?30.1E) at 519?523ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1998,April,18,ten miles from Saint Paul. La ReÏunionIsland (218000S 558450E).,Indian Ocean,NK,NA,NA,NA,,Floating
1998,Mid,,beach near Fuengirola. Spain,North Atlantic,NK,NA,NA,NA,,NK
1998,July,28,off New Zealand (42ø32.2?S 170ø24.1?E) at 500?575ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1998,July,29,off New Zealand (41ø59?42ø10S 170ø32?33E) at 405ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1998,July,31,off New Zealand (41ø05?S 170ø50?E) at 452?526ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1998,August,20,off New Zealand (42ø00?S 170ø30?E),South Pacific,NK,NA,NA,NA,,NK
1998,December,19,off New Zealand (43ø18.5?32.6S 174ø10.5?17.7E) at 567ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1998 or 1999,Between 26 December and 9th Febraury,,December 1998 and 9 February 1999 off New Zealand (44ø11.2?S 178ø15.7?W) at 500ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,Janurary,7,off New Zealand (43ø51.34S 173ø20?174ø37E),South Pacific,NK,NA,NA,NA,,NK
1999,January,22,off New Zealand (43ø33?S 174ø18?E),South Pacific,NK,NA,NA,NA,,NK
1999,January,27,off New Zealand (44ø20.5?S 177ø08.8?W) at 504ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,February,12,off New Zealand (44ø16.0?S 179ø16.7?W) at 545ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,February,15,Patagonian Shelf 53 54.6 S 63 45.9 W,South Atlantic,Female,1.444,NA,NA,0.01455,Captured
1999,February,16,Kerguelen waters in southern Polar Frontal Zone (48ø11?S 71ø15?E) at 550?870ÿm depth,Indian Ocean,NK,NA,NA,NA,,NK
1999,March,9,off New Zealand (48ø50.2?S 167ø12.3?E),South Pacific,NK,NA,NA,NA,,NK
1999,March,15,off New Zealand (48§36.1?54.2S 166§15.2?24.4E) at 798ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,March,16,off New Zealand (48§49.55S 166§53?167§16E),South Pacific,NK,NA,NA,NA,,NK
1999,April,5,Northeast Providence Channel. Bahamas,South Pacific,Male,NA,3.3528,3.3528,,Floating
1999,April,4,South Africa. West of Robben Island 33 45 8 S 17 25 7 E,South Pacific,Male,1.26,NA,NA,,Captured
1999,May,,off New Zealand (43ø28.35?S 174ø14?E) at 515ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,June ,14,off the west coast of Tasmania at 500?700ÿm depth,South Pacific,Male,1.501,NA,NA,,Captured
1999,June,3,Straits of Florida. Fowey Rocks Loght,North Atlantic,NK,1.1,NA,NA,,Floating
1999,July,13,off New Zealand (41ø03.1?S 170ø42.4?E) at 530ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,July,15,off New Zealand (42ø33?S 170ø31?E) at 460ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,July,17,off New Zealand (42ø31.32?S 170ø21.09?E) at 535ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,July,21,ff New Zealand (42ø27.32?S 170ø28.10?E) at 442ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,August,5,off New Zealand (41ø56?S 170ø26?E) at 500ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,August,29,Off southern Brazil (28ø05S. 45ø35W) ,South Atlantic,Female,1.16,2.48,,0.015,Floating
1999,October,13,South Africa? Off Bokpunt 33 38 S 17 29 E,South Atlantic,Female,NA,NA,NA,,Captured
1999,November,23,Carribean. Cayman Islands,North Atlantic,NK,NA,NA,NA,,NK
1999,November,,Carrandi. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1999,December,9,North of Lastres. Spain (43852.540N^05818.740W),North Atlantic,Female,1.8,NA,NA,0.0205,Captured
Unknown (between 1954 and 2000),,,(between 1954 and 2000) off New Zealand (42ø35.41?S 170ø15.03?E) at 400ÿm depth,South Pacific,NK,NA,NA,NA,,NK
Unknown (between 1954 and 2000),,,off New Zealand (42ø31.9?S 170ø16.6?E),South Pacific,NK,NA,NA,NA,,NK
Unknown (between 1954 and 2000),,,off New Zealand (43ø48.47?S 174ø47.46?E) at 476ÿm depth,South Pacific,NK,NA,NA,NA,,NK
1999,April,,Bahamas. Northeast Providence Channel,North Atlantic,Male,NA,NA,3.35,,Floating
2000,January,27,off New Zealand (44ø21.19S 175ø05?174ø34E) at 615ÿm depth,South Pacific,NK,NA,NA,NA,,NK
2000,March,22,Kerguelen waters in southern Polar Frontal Zone (47ø10?S 69ø23?E) at 490?620ÿm depth,Indian Ocean,NK,NA,NA,NA,,NK
2000,April,2,Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
2000,April,24,Kerguelen waters in southern Polar Frontal Zone (48ø26?S 70ø58?E) at 680?755ÿm depth,Indian Ocean,NK,NA,NA,NA,,NK
2000,May,10,,NK,NK,NA,NA,NA,,NK
2000,October,20,Straits of Florida. Fort Lauderdale,North Atlantic,Male,NA,NA,NA,,Floating
2000,December ,15,in the vicinity of Amsterdam Island (378500S 778330E).,Indian Ocean,NK,NA,NA,NA,,NK
1998 - 2001,,,Near Kerguelen Island,Indian Ocean,NK,NA,NA,NA,,In predator
2001,January,12,North of Lastres. Spain (43 52 54 05 818.740W),North Atlantic,Female,1.35,3.88,8.01,0.0165,Captured
2001,May,,Caladero Lastres.Asturias.ÿSpain,North Atlantic,NK,NA,NA,NA,,NK
2001,June,27,beach inFuengirola.ÿSpain,North Atlantic,NK,NA,NA,NA,,NK
2001,June,10,Straits of Florida,North Atlantic,NK,NA,NA,NA,,Floating
2001,July,6,Bermuda,North Atlantic,NK,NA,NA,NA,,Floating
2001,July,2,west ofÿCarrandi.Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
2001,Septmeber,12,Playa de Rodiles(Villaviciosa).Asturias.ÿSpain Off Luarca (Bustamante et al. 2008),North Atlantic,Female,1.27,NA,7.1,,Captured
2001,September,20,Playa de Torimbia(Llanes).ÿAsturias.Spain,North Atlantic,NK,NA,NA,NA,,NK
2001,September,23,Caladero de El Corbiro.ÿAsturias.Spain,North Atlantic,NK,NA,NA,NA,,NK
2001,October,23,Playa de S. Cosme de Barreiros(Lugo).ÿAsturias.Spain (Ribadesella. Bustamante et al. 2008),North Atlantic,Female,1.5,NA,NA,0.0151,Stranded
2001,December,16,South Africa. west of Cape Columbine 35- 00 5 35 12 6 S. 18 36 0- 18 44 9 E,South Atlantic,Female,NA,NA,NA,,NK
2002,,,off Santa Catarina. Brazil,South Atlantic,NK,NA,NA,NA,,NK
2002,January,14,Off UK coast,North Atlantic,NK,NA,NA,NA,,NK
2002,January,15,Goshiki beach. seashore ofÿAmino Cho.ÿKyoto Prefecture.ÿJapan,North Pacific,NK,NA,NA,NA,,NK
2002,March,11,Playa del Gayo(Luanco.ÿGoz¢n).Asturias.ÿSpain,North Atlantic,NK,NA,NA,NA,,NK
2002,July,20,Hobart.Tasmania,Indian Ocean,NK,NA,NA,NA,,NK
2002,August,24,west coast of Portugal 38 11N. 0848W,North Atlantic,Male,1.11,NA,6.2,,Floating
2002,September,13,"Off Asturias. SpainPozo de la Vaca (43854.26?N
5829.38?W)",North Atlantic,Male,0.92,3.01,6,0.012,Captured
2002,October,12,South Africa. South of False Bay 35- 00 5 35 12 6 S. 18 36 0- 18 44 9 E,South Atlantic,Female,NA,NA,NA,,NK
2002,October,10,El Agudo.ÿAsturias.Spain,North Atlantic,NK,NA,NA,NA,,NK
Before or including 2003,J,,Japan,North Pacific,NK,NA,NA,NA,,NK
Before or including 2003,,,Japan,North Pacific,NK,NA,NA,NA,,NK
Before or including 2003,,,Tonga,North Pacific,NK,NA,NA,NA,,NK
2003,January,,Maizuru. Kyoto Prefecture. Japan,North Pacific,NK,NA,NA,NA,,NK
2003,July,20,Pringle Bay. Hermanus. Western Cape. South Africa,Indian Ocean,NK,NA,NA,NA,,NK
2003,September,13,La Griega (Colunga). Asturias. Spain,North Atlantic,Female,1.53,NA,NA,0.0152,Stranded
2003,September,15,La Isla(Colunga). Asturias. Spain,North Atlantic,Female,1.52,NA,12,0.0152,Stranded
2003,September,16,Goz¢n. Asturias. Spain [off Gij¢n fide Bustamante et al. (2008)],North Atlantic,Male,1.22,NA,6.2,,Floating
2003,September,23,Ba¤ugues (Goz¢n). Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
2003,October,10,Pozos- Carrandi. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
2003,October,16,off Gij¢n. off coast of Asturias. Spain (43ø53.23?N 5ø32.15?W),North Atlantic,Male,1.16,NA,NA,0.0134,Floating
2003,October,18,La Griega (Colunga). Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
c. 2004 (before),,,Between 400 and 600 m depth either at West Coast South Island. near to Hokitika Canyon. during July and August. or Banks Peninsula. East Coast South Island. between December and February.,South Pacific,Female,1.6,NA,NA,,Captured
2004,March,,Off the coast of the Falkland Islands,South Atlantic,Male,1.64,NA,8.62,,Captured
2004,August,23,3ÿkm from lighthouse. Farewell Spit. New Zealand,South Pacific,NK,NA,NA,NA,,NK
2004,December,22,Newfoundland. Green Bay. triton,North Atlantic,NK,NA,NA,4.05,,Floating
2004,December,6,Newfoundland. Conception Bay. Colliers,North Atlantic,Female,NA,NA,NA,,Stranded
2004,September,30,off Ogasawara Islands. c. 600 miles (970ÿkm) south of Tokyo. Japan (26ø57.3?N 142ø16.8?E) at 900ÿm depth,North Pacific,NK,NA,NA,NA,,NK
Before and including 2005,,,off South Island. New Zealand,South Pacific,NK,NA,NA,NA,,NK
2005,Summer,,Long Beach. Pacific Rim National Park Reserve. near Tofino. Vancouver Island. British Columbia. Canada (49ø04.185?N 125ø45.679?W),South Pacific,NK,0.96,NA,NA,,Stranded
2005,July,19,off Gandia. Valencia. Western Mediterranean Sea M,North Atlantic,Male,1.07,NA,6,,Captured
2005,July,2,Straits of Florida. 10 miles south of Key West,North Atlantic,NK,NA,NA,NA,,Floating
2005,July,22,off Gij¢n. Asturias. North Spain,North Atlantic,Female,1.46,NA,8.2,,Captured
2006,May,7,Florida Current. New Smyrna,North Atlantic,NK,NA,NA,NA,,Floating
2006,August,11,about eight miles (13ÿkm) off Santa Cruz Island,North Pacific,NK,NA,NA,NA,,NK
2006,October,,Pacific Ocean. about 900 nautical miles (1.700ÿkm) northwest of Midway (35ø30?N 168ø20?W),North Pacific,NK,NA,NA,NA,,NK
2006,December,4,Chichi-jima. about 960 kilometers (600ÿmi) southeast of Tokyo. Japan. at 650ÿm depth,North Pacific,NK,NA,NA,NA,,NK
2007,January,24,off Ine. Kyoto Prefecture. Japan,North Pacific,NK,NA,NA,NA,,NK
2007,July,10,Ocean Beach. near Strahan. Tasmania,Indian Ocean,NK,NA,NA,NA,,NK
2007,July,23,Farewell Spit. New Zealand,South Pacific,NK,NA,NA,NA,,NK
2007,August,"8, 9 say Roper et al. 2014",Marathon Hump. south of Marathon. Florida Keys. Florida. United States,North Atlantic,Male,NA,NA,2.07264,,NK
2007,August,21,New Zealand,South Pacific,NK,NA,NA,NA,,NK
2007,August,29,beach in Port Underwood. New Zealand,South Pacific,NK,NA,NA,NA,,NK
2007,October,25,off Maca‚. Rio de Janeiro. Brazil,South Atlantic,NK,NA,NA,NA,,NK
2007,December,27,beach near mouth of Yura River. Maizuru. Kyoto Prefecture. Japan,North Pacific,NK,NA,NA,NA,,NK
2008,April,28,off Tenerife. Canary Islands,North Atlantic,NK,NA,NA,NA,,NK
2008,May,9,40ÿkm off Hickory Bay. Banks Peninsula. New Zealand. at 112ÿm depth,South Pacific,NK,NA,NA,NA,,NK
2008,May,25,about 40ÿkm off Portland. Victoria. Australia. at 556ÿm depth,Indian Ocean,NK,NA,NA,NA,,NK
2008,June,25,about 20 miles (32ÿkm) off Santa Cruz. Monterey Bay. California,North Pacific,NK,NA,NA,NA,,NK
2008,October,16,"""beginning"" of Farewell Spit. New Zealand",South Pacific,NK,NA,NA,NA,,NK
2009,April,2,Island Bay beach. New Zealand,South Pacific,NK,NA,NA,NA,,NK
2009,June,14,Are between Hawaii and Baja California. c. 135.5 W c. 25.8 N,North Pacific,Male,NA,NA,NA,,Floating
2009,July,30,off Louisiana. United States. at >1.500ÿft (460ÿm) depth,North Atlantic,Female,NA,NA,5.9436,,Captured
2009,August,15,near a small bay just west of Beaver Point on Saltspring Island. Canada,North Pacific,NK,NA,NA,NA,,Floating
2010,February,21,Off niigata.  Japan,North Pacific,NK,NA,NA,NA,,Stranded
2010,July,4,near southern seamount off continental shelf out from Narooma. Australia,South Pacific,NK,NA,NA,NA,,Floating
2010,August,7,Houghton Bay. Wellington. New Zealand,South Pacific,NK,NA,NA,NA,,Stranded
2011,June,26,12 miles (19ÿkm) off Jensen Beach. Florida. United States. over 170ÿft (52ÿm) deep waters,North Atlantic,Female,NA,NA,5.7912,,Captured
2011,July,,around 2 miles (3.2ÿkm) south of Los Gigantes cliff. Tenerife. Canary Islands. over 800?1200ÿm deep waters,North Atlantic,NK,NA,NA,NA,,Floating
2011,August,23,Ocean Beach. entrance to Farewell Spit. New Zealand,South Pacific,NK,NA,NA,NA,,Stranded
2012,March,31,Kaikoura Canyon. New Zealand,South Pacific,NK,NA,NA,NA,,NK
2012,June,1,about 50ÿkm off Jervis Bay. New South Wales. Australia,South Pacific,NK,NA,NA,NA,,NK
2012,October,10,Playa de Getares. Punta Carnero. Algeciras. Andalusia. Spain,Mediterranean,Female,NA,NA,7.5,,Stranded
2013,April,28,Cape Campbell Lighthouse. Marlborough. New Zealand,South Pacific,Female,NA,1.5,,,Stranded
2013,August,16,~0.5ÿmi (0.80ÿkm) off Mer¢n beach. Villaviciosa. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,Floating
2000s?,,,Galicia,North Atlantic,Female,1.68,NA,NA,,NK
2000s?,,,Asturias,North Atlantic,Female,1.27,NA,NA,,NK
2000s?,,,Asturias,North Atlantic,Female,1,NA,NA,,NK
2000s?,,,Valencia,North Atlantic,Male,1.1,NA,NA,,NK
2000s?,,,Asturias,North Atlantic,Female,0.95,NA,NA,,NK
2009,June-August,,Gulf of Mexico,North Atlantic,NK,NA,NA,5.943,,NK
2013,April,19,"Off Uchinoura, Kagoshima, Japan 31 17 N 131 08E",North Pacific,NK,0.1408,0.36,0.61,0.0022,Captured
2013,June,14,"Off Hamada, Shime, Japaan 34 56 N 131 59 E",North Pacific,NK,0.332,0.76,1.629,0.004,Captured
2013,June,14,"Off Hamada, Shime, Japaan 34 56 N 131 59 E",North Pacific,NK,0.332,0.77,1.49,0.0042,Captured
